en,es,en_text_length,en_num_words,en_max_word_length,en_avg_word_length,en_perc_special_chars,es_text_length,es_num_words,es_max_word_length,es_avg_word_length,es_perc_special_chars
I don't even remember what the fight was about.,No recuerdo por qué fue la pelea.,47.0,9.0,8.0,4.333333333333333,0.0425531914893617,33.0,7.0,8.0,3.857142857142857,0.030303030303030304
Here are the sites of each of those that have taken place:,Estos son los sitios en que cada Congreso ha tenido lugar:,58.0,12.0,6.0,3.9166666666666665,0.017241379310344827,58.0,11.0,8.0,4.363636363636363,0.017241379310344827
I'm the man who killed Blackbeard.,Sí. Soy el hombre que mató a Barbanegra.,34.0,6.0,11.0,4.833333333333333,0.058823529411764705,40.0,8.0,11.0,4.125,0.05
Don't get smart.,No te hagas el inteligente.,16.0,3.0,6.0,4.666666666666667,0.125,27.0,5.0,12.0,4.6,0.037037037037037035
Is there an exact moment in the life of a soldier before which he is not suffering from shell-shock and after which he is?,¿Existe un límite de cuándo se padece y cuándo no?,122.0,24.0,11.0,4.125,0.01639344262295082,50.0,10.0,7.0,4.1,0.02
"Yes, Joe.","Sí, Joe.",9.0,2.0,4.0,4.0,0.2222222222222222,8.0,2.0,4.0,3.5,0.25
Why two months?,¿Por qué dos meses?,15.0,3.0,7.0,4.333333333333333,0.06666666666666667,19.0,4.0,6.0,4.0,0.05263157894736842
- We don't need the rock.,No nos hace falta.,25.0,6.0,5.0,3.3333333333333335,0.12,18.0,4.0,6.0,3.75,0.05555555555555555
I hope Umeko will forget about marrying him.,Espero que a Umeko se le pase lo de casarse con él.,44.0,8.0,8.0,4.625,0.022727272727272728,51.0,12.0,7.0,3.3333333333333335,0.0196078431372549
He has led several projects and campaigns in Switzerland and abroad.,Ha dirigido varios proyectos y campañas en Suiza y en el extranjero.,68.0,11.0,11.0,5.2727272727272725,0.014705882352941176,68.0,12.0,11.0,4.75,0.014705882352941176
Said he went off and got hitched to Liz Kelly.,Dicen que se casó con Liz Kelly.,46.0,10.0,7.0,3.7,0.021739130434782608,32.0,7.0,6.0,3.7142857142857144,0.03125
Establish a 2-block perimeter around this block.,Establezcan un perímetro de dos cuadras alrededor de esta calle.,48.0,7.0,9.0,6.0,0.041666666666666664,64.0,10.0,11.0,5.5,0.015625
"Others continue to identify as lesbian or gay and take part in lesbian/gay communities even while having long-term—even primary—heterosexual relationships, a choice accepted by some and viewed suspiciously by others in their communities.","Otros continúan identificándose como gay y lesbiana y participan en las comunidades gay y lesbiana a la vez que mantienen relaciones heterosexuales a largo plazo, incluso primarias (una opción aceptada por algunos y vista con sospecha por otras en las comunidades).",237.0,33.0,20.0,6.212121212121212,0.016877637130801686,265.0,41.0,15.0,5.487804878048781,0.01509433962264151
"We all have to bear in mind that the problems that are being faced in Yugoslavia are deep-rooted, historical problems and they are extremely difficult.",Todos nosotros tenemos que tener muy presente que los problemas con que se tiene que hacer frente en Yugoslavia tienen unas raíces históricas muy profundas y son sumamente difíciles.,151.0,25.0,12.0,5.08,0.019867549668874173,182.0,29.0,10.0,5.310344827586207,0.005494505494505495
Now there's the bastard I know and love.,Ese es el desgraciado que conozco y que amo.,40.0,8.0,7.0,4.125,0.05,44.0,9.0,11.0,4.0,0.022727272727272728
"The new EU-Africa strategy therefore needs to take this dual reality into account and support this still fragile process by means of a genuine political partnership: one that is based on unity, for it is Africa in its entirety, through the voice of the African Union, that has to be our main point of contact; on equity with an agenda that has been drawn up together and not imposed by the North, and on humility, for Europe is not the one and only partner Africa has.","La nueva Estrategia UE-África debe, por tanto, tener en cuenta esta realidad dual y apoyar este proceso, aún frágil, por medio de una asociación auténticamente política: una asociación que esté basada en la unidad, ya que es África en su totalidad, a través de la voz de la Unión Africana, la que ha de ser nuestro principal punto de contacto; en la equidad con una agenda que haya sido elaborada conjuntamente y no haya sido impuesta por el Norte, y en la humildad, ya que Europa no es el único socio que tiene África.",468.0,86.0,12.0,4.453488372093023,0.019230769230769232,519.0,94.0,14.0,4.531914893617022,0.025048169556840076
"Labor productivity rose rose by a similar percentage during this period. Meanwhile, employment kept pace with population growth.","La rosa de la productividad de trabajo se levantó por un porcentaje similar durante este período. Mientras tanto, el empleo guardó paso con el crecimiento demográfico.",128.0,18.0,12.0,6.166666666666667,0.0234375,167.0,26.0,13.0,5.461538461538462,0.017964071856287425
Cellulose?,¿Celulosa?,10.0,1.0,10.0,10.0,0.1,10.0,1.0,10.0,10.0,0.1
- Then there's the objective kind of like fascination.,Hay un tipo de fascinación objetiva.,54.0,9.0,12.0,5.111111111111111,0.05555555555555555,36.0,6.0,11.0,5.166666666666667,0.027777777777777776
"I'm used to the way the children live at Downton, but it seems odd.","Me acostumbré a cómo los niños viven en Downton, pero aún es extraño.",67.0,14.0,8.0,3.857142857142857,0.04477611940298507,69.0,13.0,10.0,4.384615384615385,0.028985507246376812
"In announcing the Year of Faith, I too wrote that “today as in the past, he (Christ) sends us through the highways of the world to proclaim his Gospel to all the peoples of the earth” (Apostolic Letter Porta Fidei, n. 7). Such proclamation, as the Servant of God Paul VI said in his Apostolic Exhortation Evangelii Nuntiandi, “is not an optional contribution for the Church. It is the duty incumbent on her by the command of the Lord Jesus, so that people can believe and be saved. This message is indeed necessary.","En la proclamación del Año de la Fe, también yo he dicho que Cristo “hoy como ayer, nos envía por los caminos del mundo para proclamar su Evangelio a todos los pueblos de la tierra” (Carta apostólica Porta fidei, 7); una proclamación que, como afirmó también el Siervo de Dios Pablo VI en su Exhortación apostólica Evangelii nuntiandi, “no constituye para la Iglesia algo de orden facultativo: está de por medio el deber que le incumbe, por mandato del Señor, con vista a que los hombres crean y se salven. Sí, este mensaje es necesario.",515.0,93.0,13.0,4.548387096774194,0.02912621359223301,537.0,95.0,12.0,4.663157894736842,0.0260707635009311
http://www.dagev.de http://www.dagev.de/,http://www.quadkelten.de http://www.quadkelten.de/,40.0,2.0,20.0,19.5,0.275,50.0,2.0,25.0,24.5,0.22
Might be nice to have a bad boy ruffle those perfect feathers.,Podría ser agradable tener a un chico malo rizando esas plumas perfectas.,62.0,12.0,9.0,4.25,0.016129032258064516,73.0,12.0,10.0,5.166666666666667,0.0136986301369863
- What's wrong with you ?,¿Qué pasa?,25.0,6.0,6.0,3.3333333333333335,0.12,10.0,2.0,5.0,4.5,0.1
Catherine. Hey!,Catherine. ¡Oye!,15.0,2.0,10.0,7.0,0.13333333333333333,16.0,2.0,10.0,7.5,0.125
I see that's not the case.,Veo que no es el caso .,26.0,6.0,6.0,3.5,0.07692307692307693,23.0,7.0,4.0,2.4285714285714284,0.043478260869565216
- Now or never!,- ¡Ahora o nunca!,15.0,4.0,6.0,3.0,0.13333333333333333,17.0,4.0,6.0,3.5,0.11764705882352941
That I declare the Olympics open!,"""Declaro las Olimpiadas inauguradas!"".",33.0,6.0,8.0,4.666666666666667,0.030303030303030304,38.0,4.0,14.0,8.75,0.10526315789473684
In many aspects there haven't been any other recordings better than the ones La Barbería made with Nuevos Medios.,"En muchos aspectos, sus grabaciones para Nuevos Medios aún no han sido superadas.",113.0,19.0,10.0,5.0,0.017699115044247787,81.0,13.0,11.0,5.3076923076923075,0.024691358024691357
It is appropriate to supplement the multilateral surveillance procedure referred to in paragraphs 3 and 4 of Article 121 TFEU with specific rules for the detection of macroeconomic imbalances as well as the prevention and correction of excessive macroeconomic imbalances within the Union.,"Conviene complementar el procedimiento de supervisión multilateral a que se refiere el artículo 121, apartados 3 y 4, del TFUE con normas específicas para la detección de los desequilibrios macroeconómicos, así como para la prevención y corrección de desequilibrios macroeconómicos excesivos dentro de la Unión.",288.0,43.0,13.0,5.72093023255814,0.003472222222222222,311.0,45.0,16.0,5.933333333333334,0.012861736334405145
