type,date(yyyyMMddHHmmss),author,message,latitude,longitude,location,date,message_text_length,message_num_words,message_max_word_length,message_avg_word_length,message_perc_special_chars,message_dist_from_mean_embed_all-mpnet-base-v2,message_outlier_score_ECOD_all-mpnet-base-v2,message_outlier_score_IForest_all-mpnet-base-v2
mbdata,20140123170000,POK,Follow us @POK-Kronos,,,,2014-01-23 17:00:00,21,3,11,6.333333333333333,0.09523809523809523,0.48379612,1323.0868756302875,-0.02806668270748297
mbdata,20140123170000,maha_Homeland,Don't miss a moment!  Follow our live coverage of the POK Rally in the Park!,,,,2014-01-23 17:00:00,76,15,8,4.066666666666666,0.039473684210526314,0.48065665,1305.1407583413065,-0.012508869618161833
mbdata,20140123170000,Viktor-E,Come join us in the Park! Music tonight at Abila City Park!,,,,2014-01-23 17:00:00,59,12,7,4.0,0.03389830508474576,0.24494329,1450.36797927758,0.002334125509527274
mbdata,20140123170000,KronosStar,POK rally to start in Abila City Park. POK leader Sylvia Marek to open with a speech. #KronosStar,,,,2014-01-23 17:00:00,98,18,11,4.5,0.030612244897959183,0.5906314,1224.6043690786728,-0.03198502551321181
mbdata,20140123170000,AbilaPost,POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,,2014-01-23 17:00:00,114,21,10,4.476190476190476,0.017543859649122806,0.42369074,1334.1899549700518,-0.03750299042168631
mbdata,20140123170000,ourcountryourrights,POK rally in the park tonight! #POKrally,,,,2014-01-23 17:00:00,40,7,9,4.857142857142857,0.05,0.59306204,1233.4345509589702,-0.03883547653234354
mbdata,20140123170000,ReggieWassali,great day for a rally! #RememberJuliana #RememberElian #POK,,,,2014-01-23 17:00:00,59,8,16,6.5,0.06779661016949153,0.5242493,1273.578495414698,-0.030983886919521197
mbdata,20140123170000,MindOfKronos,"Ugh, these POKers are anooying! #POK #gowaway",,,,2014-01-23 17:00:00,45,7,9,5.571428571428571,0.08888888888888889,0.45481545,1330.618999248755,-0.013672414812490596
mbdata,20140123170000,FriendsOfKronos,massive rally of POK terrorists - cops are gathered waiting for arrests,,,,2014-01-23 17:00:00,71,12,10,5.0,0.014084507042253521,0.51331997,1290.4174643853464,-0.021481035671020554
ccdata,20140123170000,,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,,,Egeou St / Parla St,2014-01-23 17:00:00,44,6,13,6.5,0.045454545454545456,0.42476583,1338.8775603182603,-0.02121198984618733
mbdata,20140123170000,rockinHW,Artist ? musician? need more followers ? click here  followme.kronos/artists #abila #artists,,,,2014-01-23 17:00:00,92,12,23,6.666666666666667,0.07608695652173914,0.35376734,1379.0484642244285,-0.01850988328963349
mbdata,20140123170000,KronosQuoth,Success is walking from failure to failure with no loss of enthusiasm.  #POKRally #HI,,,,2014-01-23 17:00:00,85,14,11,5.071428571428571,0.03529411764705882,0.6203711,1175.933884484231,-0.04196966957976578
mbdata,20140123170000,KronosQuoth,A person who never made a mistake never tried anything new.  #KronosStar #POKRally,,,,2014-01-23 17:00:00,82,13,11,5.3076923076923075,0.036585365853658534,0.5061516,1272.1416233784005,-0.025763362742303286
mbdata,20140123170024,KronosQuoth,The only person you are destined to become is the person you decide to be.  #KronosStar #POKRally,,,,2014-01-23 17:00:24,97,17,11,4.705882352941177,0.030927835051546393,0.5340364,1224.9088880020258,-0.03217790525189829
mbdata,20140123170024,KronosQuoth,Knowledge is being aware of what you can do. Wisdom is knowing when not to do it.  #POKRally #HI,,,,2014-01-23 17:00:24,96,19,9,4.052631578947368,0.041666666666666664,0.41487876,1317.9758362055845,-0.024717915315949912
mbdata,20140123170055,Clevvah4Evah,I want a job 80% mental 30% fiscal #POK #Rally #Grammar,,,,2014-01-23 17:00:55,55,11,8,4.090909090909091,0.09090909090909091,0.42456043,1335.089991118846,-0.004020513902538214
mbdata,20140123170055,KronosQuoth,The meaning of life is to find your gift. The purpose of life is to give it away.  #POKRally #HI,,,,2014-01-23 17:00:55,96,20,9,3.8,0.041666666666666664,0.43241698,1332.9720504714733,-0.029982248367347086
mbdata,20140123170100,rrWine,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,,2014-01-23 17:01:00,128,23,10,4.608695652173913,0.0234375,0.46409065,1292.360296081653,-0.04199683158188949
mbdata,20140123170119,KronosQuoth,If you're going through hell keep going.  #POKRally #HI,,,,2014-01-23 17:01:19,55,9,9,5.111111111111111,0.07272727272727272,0.5954536,1228.600747264809,-0.036678662355593694
mbdata,20140123170119,KronosQuoth,You miss 100% of the shots you dont take.  #KronosStar #POKRally,,,,2014-01-23 17:01:19,64,11,11,4.818181818181818,0.0625,0.582811,1219.562233221869,-0.02189393941585982
mbdata,20140123170119,KronosQuoth,You may only succeed if you desire succeeding; you may only fail if you do not mind failing.  #POKRally #HI,,,,2014-01-23 17:01:19,107,20,11,4.35,0.037383177570093455,0.56121886,1215.6294784467236,-0.036966093739490946
mbdata,20140123170119,KronosQuoth,I didnt fail the test. I just found 100 ways to do it wrong.  #KronosStar #POKRally,,,,2014-01-23 17:01:19,83,16,11,4.1875,0.04819277108433735,0.49237818,1287.7081057183102,-0.01229634628510845
mbdata,20140123170150,KronosQuoth,"To accomplish great things, we must not only act, but also dream, not only plan, but also believe. #POKRally #HI",,,,2014-01-23 17:01:50,112,20,10,4.65,0.0625,0.6477241,1157.9231228091066,-0.05513624333686695
mbdata,20140123170150,KronosQuoth,"Thinking should become your capital asset, no matter whatever ups and downs you come across in your life.  #POKRally #HI",,,,2014-01-23 17:01:50,120,20,9,5.0,0.03333333333333333,0.49298376,1273.3746562319236,-0.03762978167157893
mbdata,20140123170150,KronosQuoth,Don't be afraid to give up the good to go for the great.  #POKRally #HI,,,,2014-01-23 17:01:50,71,15,9,3.7333333333333334,0.056338028169014086,0.5767827,1223.545190408503,-0.011791100765885576
mbdata,20140123170200,pinky,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,,2014-01-23 17:02:00,128,23,10,4.608695652173913,0.0234375,0.46409065,1292.360296081653,-0.04199683158188949
mbdata,20140123170200,BlueVelvet,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,,2014-01-23 17:02:00,128,23,10,4.608695652173913,0.0234375,0.46409065,1292.360296081653,-0.04199683158188949
mbdata,20140123170200,dragonRider1,"RT @MindOfKronos Ugh, these POKers are anooying! #POK #gowaway",,,,2014-01-23 17:02:00,62,9,13,6.0,0.08064516129032258,0.51494765,1282.1200167087893,-0.022360507484863568
ccdata,20140123170210,,TRAFFIC STOP,,,N. Els St / N. Polvo St,2014-01-23 17:02:10,12,2,7,5.5,0.0,0.3416898,1305.4206899568726,-0.013592367090713375
mbdata,20140123170221,Clevvah4Evah,Youre the penultimate girlfriend! #POK #Rally #Grammar,,,,2014-01-23 17:02:21,54,7,11,6.857142857142857,0.07407407407407407,0.51397485,1295.7750694916033,-0.03184211111206414
mbdata,20140123170221,KronosQuoth,I am not a product of my circumstances. I am a product of my decisions.  #KronosStar #POKRally,,,,2014-01-23 17:02:21,94,17,14,4.529411764705882,0.0425531914893617,0.57250774,1204.6849317045767,-0.03746640935109635
mbdata,20140123170221,KronosQuoth,"Success is...knowing your purpose in life, growing to reach your maximum potential, and sowing seeds that benefit others.  #POKRally #HI",,,,2014-01-23 17:02:21,136,20,12,5.8,0.058823529411764705,0.45722747,1275.0543840730447,-0.01978464048148354
mbdata,20140123170221,KronosQuoth,The only person you are destined to become is the person you decide to be.  #KronosStar #POKRally,,,,2014-01-23 17:02:21,97,17,11,4.705882352941177,0.030927835051546393,0.5340364,1224.9088880020258,-0.03217790525189829
mbdata,20140123170231,POK,POK leader Sylvia Market taking the stage for a warm welcome to the crowd,,,,2014-01-23 17:02:31,73,14,7,4.285714285714286,0.0,0.3654319,1386.4046836367083,0.000970945528321665
mbdata,20140123170231,AbilaPost,Concerns of violence surround POK rally today heavy police presence #AbilaPost,,,,2014-01-23 17:02:31,78,11,10,6.181818181818182,0.01282051282051282,0.5816716,1240.5310774509542,-0.026978478046005838
mbdata,20140123170246,KronosQuoth,It is never too late to be what you might have been.  #KronosStar #POKRally,,,,2014-01-23 17:02:46,75,14,11,4.357142857142857,0.04,0.5069837,1265.5501639101092,-0.02879483287222201
