en,de,domain
Pack size of 1 and 3 pens.,Packungsgrößen zu 1 und 3 Pens.,medical
Effects of tadalafil on other medicinal products,Wirkungen von Tadalafil auf andere Arzneimittel,medical
• Your doctor will prescribe Truvada with other antiretroviral medicines.,• Ihr Arzt wird Ihnen Truvada in Kombination mit anderen antiretroviralen Arzneimitteln verschreiben.,medical
Type 2 diabetes is a disease in which the pancreas does not make enough insulin to control the level of glucose in the blood or when the body is unable to use insulin effectively.,"Typ-2-Diabetes ist eine Krankheit, bei der die Bauchspeicheldrüse nicht genügend Insulin zur Reduzierung des Glukosespiegels im Blut (Blutzuckerspiegel) produziert oder der Körper Insulin nicht wirksam nutzen kann.",medical
Number of delegates,Zahl der Delegierten,medical
What is Fertavid?,Was ist Fertavid?,medical
The EDGE and EDGE II studies compared the gastrointestinal tolerability of etoricoxib versus diclofenac.,Die EDGE- und EDGE-II-Studien verglichen die gastrointestinale Verträglichkeit von Etoricoxib mit der von Diclofenac.,medical
"For more information, contact the manufacturer.",Für weitere Informationen wenden Sie sich bitte an den Hersteller.,medical
135 Do not store above 30 °C.,136 Nicht über 30°C lagern.,medical
"12 single dose vials, 12 injection syringes, 12 injection needles and 12 cleansing swabs uc rod","12 Einzeldosis-Durchstechflaschen, 12 Injektionsspritzen, 12 Injektionsnadeln und 12 Reinigungstupfer ln",medical
Tel: +420 272 937 381,Tel: +420 272 937 381,medical
(-5.6%; -0.6%)e,"(-5,6%; -0,6%)e",medical
INTELENCE and lopinavir/ ritonavir can be used without dose adjustments.,INTELENCE und Lopinavir/Ritonavir können ohne Dosisanpassungen angewendet werden.,medical
22 resulting in increased renal clearance of fondaparinux.,Daher sind bei Patienten mit leichter bis mittelgradiger Leberfunktionsstörung unveränderte Konzentrationen von ungebundenem Fondaparinux zu erwarten.,medical
"Stop taking the capsules and tell your doctor immediately − If you have an allergic reaction such as skin rash, swelling of the face, wheezing or difficulty breathing − If you have heart problems such as pain in the chest − If you have liver failure (symptoms may include nausea (feeling sick), diarrhoea, jaundice (your skin or the whites of your eyes look yellow)) − If you have blistering or peeling of the skin − If you have severe stomach pain or any sign of bleeding in the stomach or intestines, such as passing black or bloodstained bowel movements, or vomiting blood","- wenn Sie ein Leberversagen haben (mit Beschwerden wie beispielsweise Übelkeit, Durchfall,",medical
"After reconstitution, the solution contains 40 units of imiglucerase per ml (400 U/ 10 ml).",Nach dem Auflösen enthält die Lösung 40 Einheiten Imiglucerase pro ml (400 Einheiten/10 ml).,medical
"3 ml solution in a cartridge (type 1 glass), with a plunger (bromobutyl) and a stopper (bromobutyl/ polyisoprene) in a carton.","3 ml Lösung in einer Patrone aus Glas (Glasart 1), mit einem Kolben (Brombutylgummi) und einem Stopfen (Brombutylgummi/Polyisopren) in einem Umkarton.",medical
"(If you have been prescribed more than one vial of GONAL-f, slowly re-inject the solution into another powder vial, until you have the prescribed number of powder vials dissolved in the solution.","(Hat Ihnen Ihr Arzt mehr als eine Durchstechflasche GONAL-f verordnet, spritzen Sie die Lösung langsam in eine weitere Durchstechflasche mit Pulver ein, bis Sie die vorgeschriebene Anzahl von Durchstechflaschen mit Pulver aufgelöst haben.",medical
1 x 360 tablets 2 x 360 tablets 3 x 360 tablets,1 x 360 Tabletten 2 x 360 Tabletten 3 x 360 Tabletten,medical
- that patients are not sensitive to human normal immunoglobulin by first injecting the product,"- durch sehr langsame anfängliche Injektionsrate von 0,01 - 0,02 ml/kg/min. sichergestellt wird, dass die",medical
Gadoversetamide is a chelate containing gadolinium - which has paramagnetic properties and is responsible for the contrast enhancement effect in MRI - and the ligand versetamide.,"Gadoversetamid ist ein Chelat, das Gadolinium – das paramagnetische Eigenschaften besitzt und für die kontrastverstärkende Wirkung in der MRT verantwortlich ist – und den Liganden Versetamid enthält.",medical
Assessors from accession candidate countries were invited to participate to the trainings as a preparation for the enlargement.,"Vorbereitung für das elektronische Einreichen von Anträgen mit dem neuen internationalen Format ""Common Technical Document"", Methodik der klinischen Studien nach Veröffentlichung von neuen CPMP-Leitlinien.",medical
"Whilst the procedures necessary for the CPMP and the Secretariat to handle referrals are in place, they have so far been handled on an ad hoc basis by personnel from the different Sectors of the Unit.","Die notwendigen Verfahren für die Bearbeitung von Befassungen durch den CPMP und das Sekretariat sind zwar etabliert, doch wurden sie bislang ad hoc von Personal aus verschiedenen Bereichen des Referates abgewickelt.",medical
The vaccine is mixed by withdrawing the contents of the vial containing the emulsion (Vial B) by means of a syringe and by adding it to the vial containing the suspension (Vial A).,Der Impfstoff wird vermischt indem der Inhalt aus der Durchstechflasche mit der Emulsion (Durchstechflasche B) mittels einer Spritze entnommen wird und in die Durchstechflasche mit der Suspension (Durchstechflasche A) gegeben wird.,medical
EU/ 1/ 07/ 415/ 027 (14 tablets) EU/ 1/ 07/ 415/ 028 (28 tablets) EU/ 1/ 07/ 415/ 029 (35 tablets) EU/ 1/ 07/ 415/ 030 (56 tablets) EU/ 1/ 07/ 415/ 031 (70 tablets),EU/1/07/415/027 (14 Tabletten) EU/1/07/415/028 (28 Tabletten) EU/1/07/415/029 (35 Tabletten) EU/1/07/415/030 (56 Tabletten) EU/1/07/415/031 (70 Tabletten),medical
Ethanol Benzyl alcohol Propylene glycol Arginine Water for injections,Ethanol 96% Benzylalkohol Propylenglycol Arginin Wasser für Injektionszwecke,medical
Nplate 250 µg powder for injection romiplostim SC,Nplate 250 μg Pulver zur Herstellung einer Injektionszubereitung Romiplostim s.c.,medical
Rare cases of hypertrophic granulation have been reported.,Über seltene Fälle von hypertropher Granulation wurde berichtet.,medical
"The printing ink contains: shellac glaze, iron oxide black (E172).","Schellack, Eisen(II,III)-oxid (E 172).",medical
"Before the medicine is launched, the company that makes Gliolan will set up training courses in all Member States for brain surgeons to inform them about how to use the medicine safely and effectively during surgery.","Bevor das Arzneimittel auf den Markt kommt, wird der Hersteller von Gliolan in allen Mitgliedstaaten Schulungen für Neurochirurgen einrichten, um sie über den sicheren und effizienten Einsatz des Arzneimittels während der Operation zu informieren.",medical
"3 For Ishak Fibrosis Score, improvement measured as ≥ 1 point reduction in Ishak Fibrosis Score from baseline to week 52. *p = 0.0024","3 Im Ishak-Fibrose-Score bedeutet Verbesserung eine Reduktion des Ishak-Fibrose-Scores ≥ 1 Punkt zwischen Studienbeginn und Woche 52. *p = 0,0024",medical
"Frequency categories are defined according to the following convention: very common (≥ 1/ 10), common (≥ 1/ 100 to < 1/ 10), uncommon (≥ 1/ 1,000 to < 1/ 100), rare (≥ 1/ 10,000 to < 1/ 1,000), very rare (< 1/ 10,000), not known (cannot be calculated from the available data).","Sehr häufig (≥ 1/10), häufig (≥ 1/100 bis < 1/10), gelegentlich (≥ 1/1.000 bis < 1/100), selten (≥ 1/10.000 bis < 1/1.000), sehr selten < 1/10.000), nicht bekannt (Häufigkeit auf Grundlage der verfügbaren Daten nicht abschätzbar).",medical
Other information about Xelevia:,2/3 Weitere Informationen über Xelevia:,medical
An additional study in 27 patients was used to show that Exelon capsules and oral solution produced similar levels of the active substance in the blood.,"In einer Zusatzstudie an 27 Patienten wurde festgestellt, dass die Exelon-Kapseln und die Lösung zum Einnehmen ähnliche Wirkstoffspiegel im Blut ergaben.",medical
This means that your doctor can prescribe a lower dose for you if necessary.,"Zeffix ist auch als Lösung zum Einnehmen erhältlich, so dass Ihr Arzt Ihnen, wenn nötig, eine geringere Dosis verschreiben kann.",medical
ed Keep the container in the outer carton During use: do not refrigerate or store above 25°C,20 Nicht einfrieren Das Behältnis im Umkarton aufbewahren Nach Anbruch: nicht im Kühlschrank oder über 25°C aufbewahren,medical
HOW TO USE PEGASYS,WIE IST PEGASYS ANZUWENDEN?,medical
Important information for use of OptiSet:,Gummi- Balken dichtschei be,medical
(cannot be estimated from the available data) Thromboembolism (if applied intravascularly),Überempfindlichkeit Immunsystems Thromboembolie Gefäßerkrankungen (bei intravaskulärer Anwendung) Allgemeine Erkrankungen,medical
