en,es
I don't even remember what the fight was about.,No recuerdo por qué fue la pelea.
Here are the sites of each of those that have taken place:,Estos son los sitios en que cada Congreso ha tenido lugar:
I'm the man who killed Blackbeard.,Sí. Soy el hombre que mató a Barbanegra.
Don't get smart.,No te hagas el inteligente.
Is there an exact moment in the life of a soldier before which he is not suffering from shell-shock and after which he is?,¿Existe un límite de cuándo se padece y cuándo no?
"Yes, Joe.","Sí, Joe."
Why two months?,¿Por qué dos meses?
- We don't need the rock.,No nos hace falta.
I hope Umeko will forget about marrying him.,Espero que a Umeko se le pase lo de casarse con él.
He has led several projects and campaigns in Switzerland and abroad.,Ha dirigido varios proyectos y campañas en Suiza y en el extranjero.
Said he went off and got hitched to Liz Kelly.,Dicen que se casó con Liz Kelly.
Establish a 2-block perimeter around this block.,Establezcan un perímetro de dos cuadras alrededor de esta calle.
"Others continue to identify as lesbian or gay and take part in lesbian/gay communities even while having long-term—even primary—heterosexual relationships, a choice accepted by some and viewed suspiciously by others in their communities.","Otros continúan identificándose como gay y lesbiana y participan en las comunidades gay y lesbiana a la vez que mantienen relaciones heterosexuales a largo plazo, incluso primarias (una opción aceptada por algunos y vista con sospecha por otras en las comunidades)."
"We all have to bear in mind that the problems that are being faced in Yugoslavia are deep-rooted, historical problems and they are extremely difficult.",Todos nosotros tenemos que tener muy presente que los problemas con que se tiene que hacer frente en Yugoslavia tienen unas raíces históricas muy profundas y son sumamente difíciles.
Now there's the bastard I know and love.,Ese es el desgraciado que conozco y que amo.
"The new EU-Africa strategy therefore needs to take this dual reality into account and support this still fragile process by means of a genuine political partnership: one that is based on unity, for it is Africa in its entirety, through the voice of the African Union, that has to be our main point of contact; on equity with an agenda that has been drawn up together and not imposed by the North, and on humility, for Europe is not the one and only partner Africa has.","La nueva Estrategia UE-África debe, por tanto, tener en cuenta esta realidad dual y apoyar este proceso, aún frágil, por medio de una asociación auténticamente política: una asociación que esté basada en la unidad, ya que es África en su totalidad, a través de la voz de la Unión Africana, la que ha de ser nuestro principal punto de contacto; en la equidad con una agenda que haya sido elaborada conjuntamente y no haya sido impuesta por el Norte, y en la humildad, ya que Europa no es el único socio que tiene África."
"Labor productivity rose rose by a similar percentage during this period. Meanwhile, employment kept pace with population growth.","La rosa de la productividad de trabajo se levantó por un porcentaje similar durante este período. Mientras tanto, el empleo guardó paso con el crecimiento demográfico."
Cellulose?,¿Celulosa?
- Then there's the objective kind of like fascination.,Hay un tipo de fascinación objetiva.
"I'm used to the way the children live at Downton, but it seems odd.","Me acostumbré a cómo los niños viven en Downton, pero aún es extraño."
"In announcing the Year of Faith, I too wrote that “today as in the past, he (Christ) sends us through the highways of the world to proclaim his Gospel to all the peoples of the earth” (Apostolic Letter Porta Fidei, n. 7). Such proclamation, as the Servant of God Paul VI said in his Apostolic Exhortation Evangelii Nuntiandi, “is not an optional contribution for the Church. It is the duty incumbent on her by the command of the Lord Jesus, so that people can believe and be saved. This message is indeed necessary.","En la proclamación del Año de la Fe, también yo he dicho que Cristo “hoy como ayer, nos envía por los caminos del mundo para proclamar su Evangelio a todos los pueblos de la tierra” (Carta apostólica Porta fidei, 7); una proclamación que, como afirmó también el Siervo de Dios Pablo VI en su Exhortación apostólica Evangelii nuntiandi, “no constituye para la Iglesia algo de orden facultativo: está de por medio el deber que le incumbe, por mandato del Señor, con vista a que los hombres crean y se salven. Sí, este mensaje es necesario."
http://www.dagev.de http://www.dagev.de/,http://www.quadkelten.de http://www.quadkelten.de/
Might be nice to have a bad boy ruffle those perfect feathers.,Podría ser agradable tener a un chico malo rizando esas plumas perfectas.
- What's wrong with you ?,¿Qué pasa?
Catherine. Hey!,Catherine. ¡Oye!
I see that's not the case.,Veo que no es el caso .
- Now or never!,- ¡Ahora o nunca!
That I declare the Olympics open!,"""Declaro las Olimpiadas inauguradas!""."
In many aspects there haven't been any other recordings better than the ones La Barbería made with Nuevos Medios.,"En muchos aspectos, sus grabaciones para Nuevos Medios aún no han sido superadas."
It is appropriate to supplement the multilateral surveillance procedure referred to in paragraphs 3 and 4 of Article 121 TFEU with specific rules for the detection of macroeconomic imbalances as well as the prevention and correction of excessive macroeconomic imbalances within the Union.,"Conviene complementar el procedimiento de supervisión multilateral a que se refiere el artículo 121, apartados 3 y 4, del TFUE con normas específicas para la detección de los desequilibrios macroeconómicos, así como para la prevención y corrección de desequilibrios macroeconómicos excesivos dentro de la Unión."
The Truth and Reconciliation Commission 53 - 59 15,Comisión de la Verdad y la Reconciliación 53 - 59 16
"Sanctuary, Nicky.","Santuario, Nicky."
Not when I hold all the cards.,No cuando yo tengo todos los naipes.
He's kind of worried.,Está preocupado.
"- I'm ready, Bob. - Do it!","- Estoy listo, Bob."
I think he needs a little time by himself.,Creo que necesita un poco de tiempo por a sí mismo.
"We need to surgically switch faces, so I can pretend to be you and win her heart.",Tenemos que cambiar rostros quirúrgicamente para poderme hacer pasar por ti y ganarme su corazón.
