en,es
"Right-wing populists triumph in Austria, have total of 29 percent","Triunfo de la derecha populista en Austria, juntos forman el 29 %"
According to the first preliminary results of the early parliament elections in Austria have brought about a perceptible weakening of both parties in the present large coalition and a significant boost for the right-wing populist parties.,"Las elecciones anticipadas al parlamento austriaco han traído según los primeros resultados aproximados, un apreciable debilitamiento de ambos partidos de la gran coalición actual y un expresivo fortalecimiento del partido de la derecha populista."
"The Austrian People's Party (ÖVP), where the position of the current head, Wilhelm Molterer, is being severely jolted, suffered particularly great losses.","Unas fuertes y especiales pérdidas ha sufrido el Partido Popular Austríaco (OVP), donde se tambalea seriamente la posición del actual presidente, Wilhelm Molterer."
"Conversely, the campaign leader of the Alliance for the Future of Austria (BZÖ), Carinthian Governor Jörg Haider, is preparing a triumphant return to national politics.","Por el contrario, el líder de la Alianza para el futuro de Austria (BZO), el jefe del gobierno del estado de Carintia, Jörg Haider, prepara su regreso triunfal a la política nacional."
"According to the preliminary results, the Social Democratic Party (SPÖ) remains the strongest in the country with 29.8 percent of votes, however, it has lost 5.5 percent of votes since the last elections in 2006.","Según los resultados aproximados, la socialdemocracia (SPÖ) permanece como el partido más fuerte en el país con un 29,8 por ciento de votos, por lo que pierde un 5,5 por ciento de voto en comparación con las últimas elecciones del año 2006."
"ÖVP, which with its 25.6 percent loses nearly nine percent of votes, fared even worse.","Peor todavía ha terminado el OVP que pierde un 25,6 por ciento, casi un nueve por ciento de votos."
"These are the worst results of both large parties in Austrian post-war history, and particularly for the People's Party, who urged the early elections, it is literally a catastrophic result.","Son los peores resultados, literalmente catastróficos, en la historia de estos dos grandes partidos austríacos desde la posguerra y especialmente para los populares que convocaron estas elecciones anticipadas."
"At the beginning of July, when ÖVP left the coalition, the People's Party still had a significant lead on SPÖ in the polls.","Todavía a principios de julio, cuando el OVP salió de la coalición, los populares tenían en lo que se refiere a preferencia ante el SPO, una ventaja considerable."
"Voters, however, apparently punished them for letting the government flounder.","Está claro, sin embargo, que los votantes los castigaron por dejar que el gobierno naufragara."
"In the first reactions to the results, there were already speculations about the possible resignation of the party head and current vice-chancellor Wilhelm Molterer.","Ya en las primeras reacciones a los resultados se dejaron oír especulaciones sobre la dimisión del presidente del partido y, hasta hoy, vicecanciller, Wilhelm Molterer."
Observers anticipate that this could take place as early as at the extraordinary meeting of the party leadership on Monday.,Los observadores creen que ya este lunes se podría llegar a ello en la reunión excepcional de la presidencia del partido.
"Such a development would certainly simplify the journey toward the increasingly most likely recourse from the election results, that is, the renewal of the large coalition of SPÖ and ÖVP.","Tal evolución evidentemente facilitaría el camino del constante y más aproximado punto de partida de los resultados electorales, es decir, de la renovación de la gran coalición entre SPO y OVP."
"Given the strengthening of both right-wing populist parties - the Freedom Party (FPÖ) gained a preliminary 18 percent and BZÖ eleven percent of the votes - however, at the same time, the Social Democrats expressed fear of a repetition of the year 1999, when the People's Party agreed with the populists (FPÖ was still united at that time, it broke away from BZÖ in 2005) on a common government, which eventually provoked sanctions from the European Union.","En vista de que el refuerzo de ambos partidos de la derecha populista - los liberales (FPO) han ganado aproximadamente un 18 por ciento y el BZO, un once por ciento de los votos - y que los socialdemócratas al mismo tiempo expresaron sus temores de que se repitiera lo mismo del año 1999 cuando los populares negociaron con los populistas (entonces FPO era una unidad, pero en el año 2005 se desmembró de BZO) para un gobierno de coalición que llegó a generar una sanción por parte de la Unión Europea."
"Haider, who has already announced that he is prepared to work together with any party and presumes he will return to Vienna to national politics, is evidently banking on this development.","Por esta evolución apuesta claramente Haider quien ya anunció que está preparado para colaborar con cualquier partido y que ya asume su vuelta a Viena, a la política nacional."
"The Green Party also got into the parliament, but suffered a slight loss and fell from third to fifth place among Austrian political parties.",También el Partido Verde ha conseguido llegar al parlamento aunque ha perdido ligeramente y descendió del tercer al quinto puesto entre los partidos políticos austriacos.
Evidently none of the other parties exceeded the four percent mark and got into the parliament.,"Ningún otro partido superó claramente el límite del cuatro por ciento y por ello, no forma parte del parlamento."
Schwarzenberg: Relations with India could worsen,Schwarzenberg: las relaciones con la India pueden enfriarse
"According to Foreign Minister Karel Schwarzenberg, if it will not be possible to solve the problem of the Czech scientists charged in India with the illegal collection of beetles, a certain worsening of Czech-Indian relations could take place.","Si es que no se consigue solucionar el problema de los científicos checos que han sido acusados en la India por recoger ilegalmente escarabajos se podría llegar a un enfriamiento de las relaciones checo-indias, según el ministro de Asuntos Exteriores, Karel Schwarzenberg."
"The minister made this statement in New York following today's meeting with his Indian counterpart, Pranab Mukherjee.","Así manifestó el ministro en New York, después del encuentro de hoy con su homólogo indio, Pranab Mukherjee."
"""If it is not solved, then yes, then a certain worsening would take place,"" he states following the meeting initiated from the Czech side.","""Si esto no se solucionara entonces sí, entonces sí que se llegaría con seguridad a este enfriamiento"", constató después de la reunión que se organizó por iniciativa checa."
"Following the negotiations, Mukherjee said that it was difficult for the executive branch to intervene in judicial matters.","Mukherjee dijo, después del encuentro, que en los asuntos jurídicos difícilmente puede meterse el ejecutivo."
"Nevertheless, he said that in the case of Petr Švácha, who was cleared of the charges and penalized with a fine, the central government can negotiate with the local government in Darjeeling, under the jurisdiction of which the matter belongs.","Sin embargo, manifestó que en el caso de Petr Švácha, el cual fue exento de acusación y castigado con una multa, el gobierno puede negociar con el gobierno local de Darjiling en cuya jurisdicción recae el asunto."
"""His problem could be solved,"" the minister said.","""Su problema podría ser resuelto"", dijo el ministro."
"According to Mukherjee, it would be best for Emil Kučera, sentenced to three years in prison, to appeal to higher authorities.","Para Emil Kučera, condenado a tres años de cárcel lo mejor sería, según Mukherjee, que apelara a las más altas instancias."
"He can then request to be released on bail and wait for the verdict outside of jail, he explained.","Después puede solicitar la exoneración de la causa y esperar en libertad la sentencia, explicó."
Schwarzenberg confirmed that his partner had also said this during the negotiations.,Schwarzenberg confirmó que su colega se expresó en los mismos términos durante el encuentro.
"""He recommends appealing to a higher court, then it would be possible to pardon him,"" the head of Czech diplomacy said.","""Aconseja apelar al Tribunal Superior y después sería posible el indulto"", dijo el Jefe de la diplomacia checa."
"The only way the Czech side can become involved in the whole matter is to provide the sentenced individuals with ""competent legal support"", the Indian minister said.","La única manera de cómo puede entrar en el asunto la parte checa es consiguiendo al condenado un ""apoyo competente legal"", manifestó el ministro indio."
"At the same time, he said that the Indian side is already also providing them with aid of this type.",Por otra parte dijo que tal tipo de apoyo ya se lo consigue la parte india.
"""It is in our greatest interest to maintain the best relations with India, which have a long-standing tradition.","""Tenemos el mayor interés en mantener con la India las mejores relaciones, las cuales tienen una larga tradición."
"The Indians also acknowledge this,"" Schwarzenberg said.","Los indios también lo reconocen"", comentó Schwarzenberg."
